Pass,Regular Bitrate,Adaptive Bitrate,Important Scale,Non-Important Scale
1,0.05197964891975309,0.041491126543209876,1.0,2.0
2,0.05197964891975309,0.042527970679012345,0.95,2.0
3,0.05197964891975309,0.04391251929012346,0.8999999999999999,2.0
4,0.05197964891975309,0.045116222993827164,0.8499999999999999,2.0
5,0.05197964891975309,0.04644193672839506,0.7999999999999998,2.0
6,0.05197964891975309,0.047774884259259257,0.7499999999999998,2.0
7,0.05197964891975309,0.04954378858024691,0.6999999999999997,2.0
8,0.05197964891975309,0.051377797067901236,0.6499999999999997,2.0
